subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
History & Political Science,13,What is a social movement?,1,Recall the key definition or idea from this chapter.,A social movement is an organized collective effort to bring about or resist social change.,"What, is, a, social, movement",Practice,Easy,,
History & Political Science,13,What is a political movement?,1,Recall the key definition or idea from this chapter.,"It is collective action aimed at influencing political decisions, power or public policy.","What, is, a, political, movement",Practice,Easy,,
History & Political Science,13,Name one broad aim of social movements.,1,Recall the key definition or idea from this chapter.,"A social movement may seek equality, justice, rights or social reform.","Name, one, broad, aim, of",Practice,Easy,,
History & Political Science,13,Why do movements arise?,1,Recall the key definition or idea from this chapter.,"They arise when groups perceive grievances, inequalities or demands that require collective action.","Why, do, movements, arise",Practice,Easy,,
History & Political Science,13,What is the role of leadership in movements?,1,Recall the key definition or idea from this chapter.,"Leadership can organize people, articulate demands and coordinate action.","What, is, the, role, of",Practice,Easy,,
History & Political Science,13,Why is public awareness important to movements?,1,Recall the key definition or idea from this chapter.,Awareness helps communicate issues and build support.,"Why, is, public, awareness, important",Practice,Easy,,
History & Political Science,13,How can media support social movements?,1,Recall the key definition or idea from this chapter.,"Media can publicize demands, events and public debates.","How, can, media, support, social",Practice,Easy,,
History & Political Science,13,What is non-violent protest?,1,Recall the key definition or idea from this chapter.,It is collective action that seeks change without physical violence.,"What, is, non, violent, protest",Practice,Easy,,
History & Political Science,13,How can movements influence policy?,1,Recall the key definition or idea from this chapter.,"They can shape public opinion, mobilize citizens and press governments to respond.","How, can, movements, influence, policy",Practice,Easy,,
History & Political Science,13,Why are women’s movements important?,1,Recall the key definition or idea from this chapter.,"They have contributed to greater awareness and action on equality, rights and discrimination.","Why, are, women, s, movements",Practice,Easy,,
History & Political Science,13,What is the relationship between social reform and law?,2,Write the main point clearly and add one supporting detail.,"Movements can influence law, while laws can support or institutionalize social reform.","What, is, the, relationship, between",Practice,Medium,,
History & Political Science,13,How can environmental movements affect development decisions?,2,Write the main point clearly and add one supporting detail.,"They can raise concerns about ecological damage, displacement and sustainable use of resources.","How, can, environmental, movements, affect",Practice,Medium,,
History & Political Science,13,Why can movements have different strategies?,2,Write the main point clearly and add one supporting detail.,"Groups choose strategies according to their goals, resources, political conditions and risks.","Why, can, movements, have, different",Practice,Medium,,
History & Political Science,13,How can constitutional rights support movements?,2,Write the main point clearly and add one supporting detail.,"Rights such as freedom of speech and peaceful assembly provide important democratic avenues for participation, subject to lawful limits.","How, can, constitutional, rights, support",Practice,Medium,,
History & Political Science,13,What is the importance of marginalized groups participating in movements?,2,Write the main point clearly and add one supporting detail.,Their participation brings lived experiences and demands into public decision-making.,"What, is, the, importance, of",Practice,Medium,,
History & Political Science,13,How can a movement remain democratic?,2,Write the main point clearly and add one supporting detail.,"It can use peaceful participation, transparent leadership, lawful methods and respect for diverse views.","How, can, a, movement, remain",Practice,Medium,,
History & Political Science,13,Why do some movements succeed while others do not?,3,"Explain the concept with a clear reason, distinction or example.","Outcomes depend on organization, public support, leadership, political context, resources and government response.","Why, do, some, movements, succeed",Practice,Hard,,
History & Political Science,13,How can social movements strengthen democracy?,3,"Explain the concept with a clear reason, distinction or example.",They expand participation and bring neglected issues into public debate.,"How, can, social, movements, strengthen",Practice,Hard,,
History & Political Science,13,Why should movements be studied historically?,3,"Explain the concept with a clear reason, distinction or example.","Historical study shows their causes, methods, achievements, limitations and long-term effects.","Why, should, movements, be, studied",Practice,Hard,,
History & Political Science,13,How can movements create both change and debate?,3,"Explain the concept with a clear reason, distinction or example.",They challenge existing practices and can generate competing views about the direction of social change.,"How, can, movements, create, both",Practice,Hard,,
