subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,10,What is a disaster?,1,A serious event causing widespread damage and disruption.,"A disaster is a severe event that causes major damage, loss and disruption beyond normal coping capacity.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is a natural disaster?,1,A disaster caused by natural processes.,"A natural disaster results from natural processes such as earthquakes, floods or cyclones.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is a man-made disaster?,1,A disaster caused mainly by human activities or failures.,"A man-made disaster results primarily from human activities, accidents, negligence or technological failures.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is disaster management?,1,Planning and actions to reduce disaster risk and manage impacts.,"Disaster management includes prevention, preparedness, response, recovery and measures to reduce disaster risk.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is preparedness?,1,Planning and training before a disaster.,"Preparedness means planning, training and arranging resources before a disaster occurs.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is mitigation?,1,Measures that reduce disaster risk or severity.,Mitigation consists of measures that reduce the likelihood or impact of disasters.,SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is disaster response?,1,Immediate actions during and after a disaster.,"Response includes immediate actions to save lives, meet basic needs and control the situation.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is recovery?,1,Restoring and rebuilding after a disaster.,"Recovery involves restoring services, rebuilding infrastructure and helping affected communities return to normal functioning.",SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is an earthquake?,1,Sudden shaking of the Earth's crust.,An earthquake is the sudden shaking of the ground caused by release of energy in the Earth's crust.,SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is an earthquake's focus?,1,The point inside Earth where the earthquake originates.,The focus is the point inside Earth where an earthquake starts.,SSC Science;Disaster Management,Practice,Easy,,
Science & Technology Part II,10,What is the epicentre?,1,The point on Earth's surface directly above the focus.,The epicentre is the point on the Earth's surface vertically above the focus.,SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,What is a flood?,1,Overflow of water onto normally dry land.,A flood occurs when water overflows and covers land that is normally dry.,SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,What is a cyclone?,1,A large rotating storm system with strong winds.,A cyclone is a large rotating atmospheric system associated with strong winds and often heavy rain.,SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,State one safety measure during an earthquake.,1,"Drop, cover and hold; stay away from dangerous objects.","During an earthquake, protect yourself under sturdy cover and stay away from windows and falling objects.",SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,State one safety measure during a flood.,1,Move to higher ground and avoid moving floodwater.,"During floods, move to safe higher ground and avoid walking or driving through floodwater.",SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,What is an emergency kit?,1,A prepared collection of essential supplies for emergencies.,"An emergency kit contains essential items such as water, food, medicines, a torch and basic communication supplies.",SSC Science;Disaster Management,Practice,Medium,,
Science & Technology Part II,10,Why are mock drills conducted?,1,To practise emergency procedures.,Mock drills help people practise evacuation and emergency procedures before a real disaster.,SSC Science;Disaster Management,Practice,Hard,,
Science & Technology Part II,10,What is an evacuation plan?,1,A planned route and procedure for moving people to safety.,"An evacuation plan specifies safe routes, exits, assembly points and procedures for moving people away from danger.",SSC Science;Disaster Management,Practice,Hard,,
Science & Technology Part II,10,Why is early warning important?,1,It gives people time to take protective action.,"Early warning provides time for people and authorities to evacuate, protect property and reduce losses.",SSC Science;Disaster Management,Practice,Hard,,
Science & Technology Part II,10,State one role of citizens in disaster management.,1,"Follow warnings, help safely and avoid spreading rumours.","Citizens should follow official instructions, help within their ability and share reliable information during disasters.",SSC Science;Disaster Management,Practice,Hard,,
