subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
English,2.1,What is the central idea of 'Animals'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The central idea is the main message or thought developed through the chapter, explained with reference to its key events, ideas or images.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Write a short summary of 'Animals'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",A good summary briefly presents the main events or ideas in logical order without unnecessary details.,"animals,main idea,exam practice",Important,Medium,,
English,2.1,What important value can a student learn from 'Animals'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The lesson can be connected with values such as courage, honesty, perseverance, compassion, wisdom or responsible action, depending on the chapter.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Explain the title 'Animals'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The title is meaningful because it points to the main subject, incident, character, image or message of the chapter.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Give two important themes in 'Animals'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State two major ideas developed in the chapter and support each with a relevant reference from the text.,"animals,main idea,exam practice",Important,Medium,,
English,2.1,Describe one important character or personality presented in 'Animals'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Describe the person's qualities, actions and decisions, and explain how these contribute to the chapter.","animals,main idea,exam practice",Important,Medium,,
English,2.1,What turning point is important in 'Animals'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",Identify the event or realization that changes the direction of the narrative or the understanding of the subject.,"animals,main idea,exam practice",Important,Medium,,
English,2.1,How does 'Animals' inspire the reader?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It inspires the reader through an idea, experience or example that encourages positive thinking, courage, learning or self-improvement.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Write one lesson from 'Animals' that can be applied in daily life.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the lesson clearly and link it to a practical action or attitude in everyday life.,"animals,main idea,exam practice",Important,Easy,,
English,2.1,What is the writer's main purpose in 'Animals'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The writer's purpose is to communicate the chapter's central idea and make the reader think, feel or learn through the chosen form and examples.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Find and explain one important contrast in 'Animals'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention two contrasting ideas, situations or attitudes and explain how the contrast strengthens the chapter's message.","animals,main idea,exam practice",Important,Medium,,
English,2.1,How does the setting or situation support 'Animals'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",The setting or situation creates the conditions in which the main events or ideas become meaningful.,"animals,main idea,exam practice",Important,Easy,,
English,2.1,Write a 4-sentence appreciation of 'Animals'.,4,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention the subject, important idea, notable feature and the reason the chapter is meaningful to readers.","animals,main idea,exam practice",Important,Hard,,
English,2.1,What makes 'Animals' memorable?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Its memorable quality comes from its important subject, strong message, characters, incidents, images or emotional effect.","animals,main idea,exam practice",Important,Easy,,
English,2.1,How can the main message of 'Animals' help a weak student?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It can encourage steady effort, learning from mistakes and practical improvement instead of giving up.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Write three keywords related to 'Animals'.,1,"Read the chapter carefully and identify its main idea, key events, characters or message.","Choose three keywords directly connected with the chapter's subject, ideas, characters or events.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Write a short answer on the most important idea in 'Animals'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the idea in one or two clear sentences and support it with one relevant reference.,"animals,main idea,exam practice",Important,Easy,,
English,2.1,Why should students study 'Animals' carefully for examination?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Careful study helps students understand the main idea, important details, vocabulary and likely question patterns.","animals,main idea,exam practice",Important,Easy,,
English,2.1,Frame one exam question based on 'Animals' and answer it.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","The question should test an important idea from the chapter, and the answer should be concise, relevant and text-based.","animals,main idea,exam practice",Important,Medium,,
English,2.1,What is your personal response to 'Animals'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State your opinion clearly and support it with one reason or reference from the chapter.,"animals,main idea,exam practice",Important,Hard,,
