subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Mathematics Part II,2,State the Pythagoras theorem.,1,Think of a right-angled triangle.,"In a right-angled triangle, the square of the hypotenuse equals the sum of the squares of the other two sides.","pythagoras,theorem,right triangle",Practice,Easy,,
Mathematics Part II,2,A right triangle has legs 3 cm and 4 cm. Find the hypotenuse.,1,Use c²=a²+b².,"c²=9+16=25, so c=5 cm.","hypotenuse,3-4-5",Practice,Easy,,
Mathematics Part II,2,A right triangle has hypotenuse 13 cm and one leg 5 cm. Find the other leg.,1,Use b²=13²−5².,"b²=169−25=144, so b=12 cm.","pythagoras,missing side",Practice,Easy,,
Mathematics Part II,2,"Check whether sides 6 cm, 8 cm and 10 cm form a right triangle.",1,Compare the square of the longest side with the sum of squares of the other two.,"6²+8²=36+64=100=10², so yes.","converse,right triangle",Practice,Easy,,
Mathematics Part II,2,State the converse of Pythagoras theorem.,1,It helps identify a right triangle from side lengths.,"If the square of the longest side equals the sum of the squares of the other two sides, the triangle is right-angled opposite the longest side.","converse,pythagoras",Practice,Easy,,
Mathematics Part II,2,Find the diagonal of a rectangle 6 cm long and 8 cm wide.,1,The diagonal is the hypotenuse.,d=√(6²+8²)=√100=10 cm.,"rectangle,diagonal",Practice,Easy,,
Mathematics Part II,2,A ladder 10 m long reaches a wall 8 m high. How far is its foot from the wall?,1,Use the ladder as hypotenuse.,"x²=10²−8²=36, so x=6 m.","ladder,application",Practice,Easy,,
Mathematics Part II,2,Find the distance between opposite corners of a square of side 5 cm.,1,Diagonal²=5²+5².,Diagonal=5√2 cm.,"square,diagonal",Practice,Easy,,
Mathematics Part II,2,"A triangle has sides 7,24,25. Determine whether it is right-angled.",1,Test 7²+24² against 25².,"49+576=625=25², so it is right-angled.","converse,7-24-25",Practice,Easy,,
Mathematics Part II,2,"If the legs of a right triangle are equal and each is a, express the hypotenuse.",1,Use c²=a²+a².,c=a√2.,isosceles right triangle,Practice,Easy,,
Mathematics Part II,2,A pole breaks 5 m above the ground and its top touches the ground 12 m from the foot. Find the original height.,2,The broken part is the hypotenuse of a 5-12-right triangle.,Broken part=13 m; original height=5+13=18 m.,"application,pole",Practice,Medium,,
Mathematics Part II,2,"In a right triangle, the hypotenuse is 17 cm and one side is 15 cm. Find the third side.",2,Subtract squares.,Third side=√(17²−15²)=√64=8 cm.,"missing side,8-15-17",Practice,Medium,,
Mathematics Part II,2,The diagonal of a rectangle is 25 cm and its breadth is 7 cm. Find its length.,2,Use l²=25²−7².,l=√576=24 cm.,"rectangle,diagonal",Practice,Medium,,
Mathematics Part II,2,A wire 26 m long is tied from the top of a 24 m pole to the ground. Find the horizontal distance.,2,Use 26 as hypotenuse.,x=√(26²−24²)=√100=10 m.,"application,pole,wire",Practice,Medium,,
Mathematics Part II,2,"Sides 9,12,15 are given. Find the area if the triangle is right-angled.",2,First identify the two legs.,"9²+12²=15², so area=½×9×12=54 square units.","area,right triangle",Practice,Medium,,
Mathematics Part II,2,A square has diagonal 14√2 cm. Find its side.,2,For a square d=a√2.,a=14 cm.,"square,diagonal",Practice,Medium,,
Mathematics Part II,2,A right triangle has area 30 cm² and one leg 5 cm. Find the other leg.,3,Area=½×leg1×leg2.,"30=½×5×b, so b=12 cm.","area,right triangle",Practice,Hard,,
Mathematics Part II,2,A point travels 9 m east and then 12 m north. How far is it from the starting point?,3,The two paths are perpendicular legs.,Distance=√(9²+12²)=15 m.,"distance,application",Practice,Hard,,
Mathematics Part II,2,Explain how the converse of Pythagoras theorem can be used in construction work.,3,It can check whether an angle is 90°.,"Measure three sides. If a²+b²=c² for the longest side c, the included angle opposite c is a right angle.","converse,application",Practice,Hard,,
Mathematics Part II,2,A right triangle has hypotenuse 10 cm. Can both other sides be 6 cm? Explain.,3,Check 6²+6².,"No. 36+36=72, not 100, so the sides cannot form that right triangle.","reasoning,pythagoras",Practice,Hard,,
