subject_name,chapter_number,question_text,pyq_year,pyq_exam_month,pyq_paper_set,marks,hint,easy_answer,keywords,difficulty,pyq_frequency,visual_tag,source_note,question_paper_id
Mathematics Part I,3,"1(A)(ii) — To draw the graph of x + 2y = 4, find x when y = 1.",2025,March,English,1,2,,linear equations;graph,Easy,3,Linear equation graph,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,2,"1(A)(i) — If 3 is one of the roots of the quadratic equation kx² – 7x + 12 = 0, then find k.",2025,March,English,1,1,,quadratic equations;roots,Easy,3,Quadratic equation,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,3,"1(A)(iii) — For an A.P., t₇ = 4 and d = −4. Find a.",2025,March,English,1,28,,arithmetic progression;AP;nth term,Medium,2,Arithmetic progression,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,4,"1(A)(iv) — In the format of GSTIN, there are how many alpha-numerals?",2025,March,English,1,15,,GSTIN;financial planning,Easy,1,GSTIN,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,1,"1(B)(i) — If 17x + 15y = 11 and 15x + 17y = 21, find x − y.",2025,March,English,1,"Subtract the first equation from the second: -2x+2y=10, so x-y=-5.",-5,simultaneous equations;linear equations,Medium,2,Simultaneous equations,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,3,1(B)(ii) — Find the first term of the sequence tₙ = 3n − 2.,2025,March,English,1,1,,sequence,Easy,1,Sequences,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,4,"1(B)(iii) — If the face value of a share is ₹100 and market value is ₹150, and the rate of brokerage is 2%, find brokerage paid on one share.",2025,March,English,1,3,,shares;brokerage,Easy,3,Shares and brokerage,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,5,"1(B)(iv) — Two digit numbers are formed using digits 2, 3 and 5 without repeating a digit. Write the sample space.",2025,March,English,1,"{23,25,32,35,52,53}",,probability;sample space,Easy,3,Probability sample space,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,1,"2(A)(i) — If (0,2) is the solution of 2x + 3y = k, complete the activity to find k.",2025,March,English,2,6,,linear equations;activity,Easy,3,Linear equation,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,2,"2(A)(ii) — If 2 and 5 are the roots of a quadratic equation, complete the activity to form the quadratic equation.",2025,March,English,2,x²−7x+10=0,,quadratic equations;roots,Easy,3,Quadratic equation,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,5,"2(A)(iii) — Two coins are tossed simultaneously. Write the sample space and events A: at least one head, B: no head.",2025,March,English,2,"S={HH,HT,TH,TT}; A={HH,HT,TH}; B={TT}",,probability;sample space;events,Easy,3,Probability events,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,1,"2(B)(i) — ABCD is a rectangle. Using the diagram information, write two simultaneous equations in the form ax + by = c.",2025,March,English,2,2x−2y=8; −x+2y=4,,simultaneous equations;rectangle,Medium,3,Rectangle and linear equations,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,2,2(B)(ii) — Solve x² + x − 20 = 0 by factorisation method.,2025,March,English,2,x=4 or x=−5,,quadratic equations;factorisation,Easy,3,Quadratic factorisation,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,3,"2(B)(iii) — Find the 19th term of the A.P. 7, 13, 19, 25, …",2025,March,English,2,115,,arithmetic progression;AP,Easy,3,Arithmetic progression,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,5,2(B)(iv) — A card is drawn from a well-shuffled pack of 52 playing cards. Find the probability that the card drawn is a face card.,2025,March,English,2,3/13,,probability;playing cards,Easy,3,Playing cards probability,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,6,"2(B)(v) — The table gives number of workers and hours worked: 8–10:150, 10–12:500, 12–14:300, 14–16:50. Prepare a less-than upper-limit cumulative frequency distribution.",2025,March,English,2,"<10:150, <12:650, <14:950, <16:1000",,statistics;cumulative frequency,Medium,3,Cumulative frequency table,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,6,"3(A)(i) — Using the given frequency distribution of petrol filled, complete the activity to find the mode. Classes: 0.5–3.5(33), 3.5–6.5(40), 6.5–9.5(27), 9.5–12.5(18), 12.5–15.5(12).",2025,March,English,3,Modal class is 3.5–6.5. Mode = 3.5 + [(40-33)/(2×40-33-27)]×3 = 4.55 L.,4.55 L,statistics;mode,Medium,3,Mode,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,4,3(A)(ii) — The total value including GST of a remote-controlled toy car is ₹2360. GST rate is 18%. Complete the activity to find the taxable value.,2025,March,English,3,₹2000,,GST;taxable value,Easy,3,GST calculation,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,2,3(B)(i) — Solve 3m² − m − 10 = 0 by formula method.,2025,March,English,3,m=2 or m=−5/3,,quadratic equations;formula method,Medium,3,Quadratic formula,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,1,3(B)(ii) — Solve 3x − 4y = 10 and 4x + 3y = 5 using Cramer's rule.,2025,March,English,3,Using Cramer's rule gives x=2 and y=-1.,"x=2, y=-1",simultaneous equations;Cramers rule,Medium,3,Cramer's rule,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,4,"3(B)(iii) — 50 shares of face value ₹10 were purchased for market value ₹25. Company declared 30% dividend. Find (1) sum invested, (2) dividend received, (3) rate of return.",2025,March,English,3,₹1250; ₹150; 12%,,shares;dividend;rate of return,Medium,3,Shares dividend return,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,5,3(B)(iv) — One coin and a die are thrown simultaneously. Find the probability of A: head and a prime number; B: tail and an odd number.,2025,March,English,3,A=1/4; B=1/4,,probability;coin;die,Medium,3,Coin and die probability,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,2,4(i) — A tank can be filled by two taps in 6 hours. The smaller tap alone takes 5 hours more than the bigger tap alone. Find the time required by each tap separately.,2025,March,English,4,10 hours and 15 hours,,quadratic equations;word problems,Hard,3,Tank filling word problem,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,6,"4(ii) — The table shows percentage of marks and number of students: 20–40:25, 40–60:65, 60–80:80, 80–100:15. Draw a frequency polygon without drawing histogram.",2025,March,English,4,"Class marks 30,50,70,90",,statistics;frequency polygon,Medium,3,Frequency polygon,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,3,"4(iii) — In a Mahila Bachat Gat, Kavita saves ₹20 on day 1, ₹40 on day 2, ₹60 on day 3 and continues similarly. Find total saving in February 2020.",2025,March,English,4,"February 2020 has 29 days. The savings form an AP: a=20, d=20, n=29. S=29/2[40+28×20]=₹8700.",₹8700,arithmetic progression;savings,Medium,3,Arithmetic progression savings,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,6,"5(i) — The pie diagram represents money spent on different sports. If football expenditure is ₹9000, find (a) total amount spent on sports and (b) amount spent on cricket.",2025,March,English,5,"Football is 45°. Total = 9000×360/45 = ₹72,000. Cricket is 160°, so 72000×160/360 = ₹32,000.","₹72,000 total; ₹32,000 cricket",statistics;pie chart,Medium,3,Pie chart,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
Mathematics Part I,3,5(ii) — Draw the graph of x + y = 4 and answer: (a) what type of triangle is formed with the X- and Y-axes based on its sides? (b) find its area.,2025,March,English,5,Right isosceles triangle; area=8 sq. units,,linear equations;graph;coordinate geometry,Medium,3,Graph and triangle,Verified from user-uploaded official Maharashtra SSC Mathematics-I March 2025 English paper. Review before final student-facing use.,
