subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,3,What is transportation in plants?,1,"It is movement of water, minerals and food.","Transportation in plants is the movement of water, minerals and prepared food between different parts.",SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is xylem?,1,It carries water and minerals.,Xylem transports water and dissolved minerals mainly from roots to other parts of the plant.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is phloem?,1,It transports prepared food.,Phloem transports food made in leaves to other parts of the plant.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is transpiration?,1,It is loss of water vapour from aerial plant parts.,Transpiration is the loss of water vapour mainly through stomata of leaves.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,State one importance of transpiration.,1,It helps in upward movement of water.,Transpiration contributes to the upward movement of water and minerals and cools the plant.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is translocation?,1,It is movement of food through phloem.,Translocation is the transport of prepared food through phloem from source to sink.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is circulation in humans?,1,It is movement of blood through the body.,Circulation is the continuous movement of blood through the heart and blood vessels.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What is the function of heart?,1,It pumps blood.,The heart is a muscular organ that pumps blood through the circulatory system.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What are arteries?,1,They generally carry blood away from the heart.,Arteries are blood vessels that generally carry blood away from the heart.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What are veins?,1,They generally carry blood towards the heart.,Veins are blood vessels that generally carry blood towards the heart.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Easy,,
Science & Technology Part II,3,What are capillaries?,1,They are very thin exchange vessels.,"Capillaries are tiny blood vessels where exchange of gases, nutrients and wastes occurs.",SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is lymph?,1,It is a tissue fluid flowing through lymphatic vessels.,Lymph is a fluid that helps transport absorbed fats and supports fluid balance and immunity.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is excretion?,1,It is removal of metabolic wastes.,Excretion is the removal of metabolic waste products from the body.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is the main excretory organ in humans?,1,Kidney.,The kidneys are the main organs that filter blood and form urine.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is a nephron?,1,It is the functional unit of kidney.,A nephron is the structural and functional unit of the kidney.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is urine?,1,It is the fluid containing dissolved excretory wastes.,Urine is the fluid produced by kidneys containing water and dissolved wastes.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Medium,,
Science & Technology Part II,3,What is dialysis?,1,It is artificial removal of wastes from blood.,Dialysis is a treatment that removes wastes and excess fluid from blood when kidneys cannot do so adequately.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Hard,,
Science & Technology Part II,3,What is double circulation?,1,Blood passes through the heart twice in one complete cycle.,Double circulation means blood passes through the heart twice during one complete circulation.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Hard,,
Science & Technology Part II,3,Why are valves present in the heart?,1,They prevent backflow of blood.,Heart valves ensure that blood flows in one direction and prevent backflow.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Hard,,
Science & Technology Part II,3,Why is separation of oxygenated and deoxygenated blood useful?,1,It improves efficient oxygen supply.,Separation helps maintain efficient oxygen delivery by preventing mixing of oxygenated and deoxygenated blood.,SSC Science;Life Processes in Living Organisms Part-2,Practice,Hard,,
