subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
English,1.6,What is the central idea of 'The Alchemy of Nature'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The central idea is the main message or thought developed through the chapter, explained with reference to its key events, ideas or images.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Write a short summary of 'The Alchemy of Nature'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",A good summary briefly presents the main events or ideas in logical order without unnecessary details.,"the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,What important value can a student learn from 'The Alchemy of Nature'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The lesson can be connected with values such as courage, honesty, perseverance, compassion, wisdom or responsible action, depending on the chapter.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Explain the title 'The Alchemy of Nature'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The title is meaningful because it points to the main subject, incident, character, image or message of the chapter.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Give two important themes in 'The Alchemy of Nature'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State two major ideas developed in the chapter and support each with a relevant reference from the text.,"the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,Describe one important character or personality presented in 'The Alchemy of Nature'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Describe the person's qualities, actions and decisions, and explain how these contribute to the chapter.","the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,What turning point is important in 'The Alchemy of Nature'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",Identify the event or realization that changes the direction of the narrative or the understanding of the subject.,"the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,How does 'The Alchemy of Nature' inspire the reader?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It inspires the reader through an idea, experience or example that encourages positive thinking, courage, learning or self-improvement.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Write one lesson from 'The Alchemy of Nature' that can be applied in daily life.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the lesson clearly and link it to a practical action or attitude in everyday life.,"the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,What is the writer's main purpose in 'The Alchemy of Nature'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The writer's purpose is to communicate the chapter's central idea and make the reader think, feel or learn through the chosen form and examples.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Find and explain one important contrast in 'The Alchemy of Nature'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention two contrasting ideas, situations or attitudes and explain how the contrast strengthens the chapter's message.","the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,How does the setting or situation support 'The Alchemy of Nature'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",The setting or situation creates the conditions in which the main events or ideas become meaningful.,"the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Write a 4-sentence appreciation of 'The Alchemy of Nature'.,4,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention the subject, important idea, notable feature and the reason the chapter is meaningful to readers.","the alchemy of nature,main idea,exam practice",Important,Hard,,
English,1.6,What makes 'The Alchemy of Nature' memorable?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Its memorable quality comes from its important subject, strong message, characters, incidents, images or emotional effect.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,How can the main message of 'The Alchemy of Nature' help a weak student?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It can encourage steady effort, learning from mistakes and practical improvement instead of giving up.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Write three keywords related to 'The Alchemy of Nature'.,1,"Read the chapter carefully and identify its main idea, key events, characters or message.","Choose three keywords directly connected with the chapter's subject, ideas, characters or events.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Write a short answer on the most important idea in 'The Alchemy of Nature'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the idea in one or two clear sentences and support it with one relevant reference.,"the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Why should students study 'The Alchemy of Nature' carefully for examination?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Careful study helps students understand the main idea, important details, vocabulary and likely question patterns.","the alchemy of nature,main idea,exam practice",Important,Easy,,
English,1.6,Frame one exam question based on 'The Alchemy of Nature' and answer it.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","The question should test an important idea from the chapter, and the answer should be concise, relevant and text-based.","the alchemy of nature,main idea,exam practice",Important,Medium,,
English,1.6,What is your personal response to 'The Alchemy of Nature'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State your opinion clearly and support it with one reason or reference from the chapter.,"the alchemy of nature,main idea,exam practice",Important,Hard,,
