subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Mathematics Part I,3,"Find the 5th term of the arithmetic progression 2, 4, 6, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 5th term is 10.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 6th term of the arithmetic progression 3, 6, 9, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 6th term is 18.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 7th term of the arithmetic progression 4, 8, 12, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 7th term is 28.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 8th term of the arithmetic progression 5, 10, 15, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 8th term is 40.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 9th term of the arithmetic progression 6, 12, 18, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 9th term is 54.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 10th term of the arithmetic progression 7, 9, 11, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 10th term is 25.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 5th term of the arithmetic progression 8, 11, 14, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 5th term is 20.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 6th term of the arithmetic progression 9, 13, 17, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 6th term is 29.,"arithmetic progression,common difference,term,sum",Practice,Easy,,
Mathematics Part I,3,"Find the 7th term of the arithmetic progression 10, 15, 20, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 7th term is 40.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the 8th term of the arithmetic progression 11, 17, 23, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The 8th term is 53.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 9 terms of the A.P. 12, 14, 16, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 180.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 10 terms of the A.P. 13, 16, 19, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 265.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 5 terms of the A.P. 14, 18, 22, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 110.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 6 terms of the A.P. 15, 20, 25, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 165.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 7 terms of the A.P. 16, 22, 28, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 238.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 8 terms of the A.P. 17, 19, 21, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 192.,"arithmetic progression,common difference,term,sum",Practice,Medium,,
Mathematics Part I,3,"Find the sum of the first 9 terms of the A.P. 18, 21, 24, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 270.,"arithmetic progression,common difference,term,sum",Practice,Hard,,
Mathematics Part I,3,"Find the sum of the first 10 terms of the A.P. 19, 23, 27, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 370.,"arithmetic progression,common difference,term,sum",Practice,Hard,,
Mathematics Part I,3,"Find the sum of the first 5 terms of the A.P. 20, 25, 30, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 150.,"arithmetic progression,common difference,term,sum",Practice,Hard,,
Mathematics Part I,3,"Find the sum of the first 6 terms of the A.P. 21, 27, 33, ...",2,Use aₙ = a + (n−1)d or Sₙ = n/2[2a+(n−1)d].,The sum is 216.,"arithmetic progression,common difference,term,sum",Practice,Hard,,
