subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Geography,2,What is the difference between absolute and relative location?,1,Use the key concept and recall the related diagram or map.,"Absolute location uses precise coordinates, while relative location describes position with reference to other places.","absolute location,relative location,coordinates, VisualTag:geo_q2_11",Practice,Medium,,
Geography,2,Why are latitudes useful for locating places?,1,Use the key concept and recall the related diagram or map.,They show north-south position relative to the Equator.,"latitude,equator,location, VisualTag:geo_q2_12",Practice,Medium,,
Geography,2,Why are longitudes useful for locating places?,1,Use the key concept and recall the related diagram or map.,They show east-west position relative to the Prime Meridian.,"longitude,prime meridian,location, VisualTag:geo_q2_13",Practice,Medium,,
Geography,2,How does the Standard Meridian help India?,1,Use the key concept and recall the related diagram or map.,It provides the reference longitude used for Indian Standard Time.,"standard meridian,longitude,IST, VisualTag:geo_q2_14",Practice,Medium,,
Geography,2,What is meant by geographical extent?,1,Use the key concept and recall the related diagram or map.,It is the spread of a region between its extreme latitudes and longitudes.,"geographical extent,latitude,longitude, VisualTag:geo_q2_15",Practice,Medium,,
Geography,2,Why does India have a wide latitudinal extent?,2,Use the key concept and recall the related diagram or map.,India stretches from the tropical south to the subtropical north.,"latitudinal extent,tropics,subtropical, VisualTag:geo_q2_16",Practice,Hard,,
Geography,2,How can latitude influence climate?,2,Use the key concept and recall the related diagram or map.,Latitude changes the angle and duration of solar heating received.,"latitude,solar heating,climate, VisualTag:geo_q2_17",Practice,Hard,,
Geography,2,Why is a one-hour time difference related to longitude?,2,Use the key concept and recall the related diagram or map.,"Earth rotates through 360° in about 24 hours, so 15° corresponds to about one hour.","longitude,time,rotation, VisualTag:geo_q2_18",Practice,Hard,,
Geography,2,Why is a standard meridian needed for a country?,2,Use the key concept and recall the related diagram or map.,It gives one common reference time instead of many local times.,"standard meridian,standard time,longitude, VisualTag:geo_q2_19",Practice,Hard,,
Geography,2,How can coordinates be used on a map?,2,Use the key concept and recall the related diagram or map.,The intersection of a latitude and longitude identifies a location.,"coordinates,latitude,longitude,map, VisualTag:geo_q2_20",Practice,Hard,,
