subject_name,chapter_number,chapter_name,question_number,question_text,pyq_year,pyq_exam_month,pyq_paper_set,marks,hint,easy_answer,keywords,difficulty,pyq_frequency,visual_tag,source_note,question_paper_id
Mathematics Part I,1,Linear Equations in Two Variables,1(A)(ii),"To draw the graph of x + 2y = 4, find x when y = 1.",2025,March,English,1,Verified from uploaded official paper/question.,2,linear equations;graph,Easy,3,Linear equation graph,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,2,Quadratic Equations,1(A)(i),"If 3 is one of the roots of the quadratic equation kx² – 7x + 12 = 0, then find k.",2025,March,English,1,Verified from uploaded official paper/question.,1,quadratic equations;roots,Easy,3,Quadratic equation,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,3,Arithmetic Progression,1(A)(iii),"For an A.P., t₇ = 4 and d = −4. Find a.",2025,March,English,1,Verified from uploaded official paper/question.,28,arithmetic progression;AP;nth term,Medium,2,Arithmetic progression,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,4,Financial Planning,1(A)(iv),"In the format of GSTIN, there are how many alpha-numerals?",2025,March,English,1,Verified from uploaded official paper/question.,15,GSTIN;financial planning,Easy,1,GSTIN,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,1,Linear Equations in Two Variables,1(B)(i),"If 17x + 15y = 11 and 15x + 17y = 21, find x − y.",2025,March,English,1,Verified from uploaded official paper/question.,-5,simultaneous equations;linear equations,Medium,2,Simultaneous equations,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,3,Arithmetic Progression,1(B)(ii),Find the first term of the sequence tₙ = 3n − 2.,2025,March,English,1,Verified from uploaded official paper/question.,1,sequence,Easy,1,Sequences,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,4,Financial Planning,1(B)(iii),"If the face value of a share is ₹100 and market value is ₹150, and the rate of brokerage is 2%, find brokerage paid on one share.",2025,March,English,1,Verified from uploaded official paper/question.,3,shares;brokerage,Easy,3,Shares and brokerage,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,5,Probability,1(B)(iv),"Two digit numbers are formed using digits 2, 3 and 5 without repeating a digit. Write the sample space.",2025,March,English,1,Verified from uploaded official paper/question.,"{23,25,32,35,52,53}",probability;sample space,Easy,3,Probability sample space,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,1,Linear Equations in Two Variables,2(A)(i),"If (0,2) is the solution of 2x + 3y = k, complete the activity to find k.",2025,March,English,2,Verified from uploaded official paper/question.,6,linear equations;activity,Easy,3,Linear equation,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,2,Quadratic Equations,2(A)(ii),"If 2 and 5 are the roots of a quadratic equation, complete the activity to form the quadratic equation.",2025,March,English,2,Verified from uploaded official paper/question.,x²−7x+10=0,quadratic equations;roots,Easy,3,Quadratic equation,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,5,Probability,2(A)(iii),"Two coins are tossed simultaneously. Write the sample space and events A: at least one head, B: no head.",2025,March,English,2,Verified from uploaded official paper/question.,"S={HH,HT,TH,TT}; A={HH,HT,TH}; B={TT}",probability;sample space;events,Easy,3,Probability events,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
