subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Mathematics Part I,6,"Find the mean of the data: 2, 4, 6, 8, 10.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 6.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 3, 5, 7, 9, 11.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 7.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 4, 6, 8, 10, 12.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 8.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 5, 7, 9, 11, 13.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 9.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 6, 8, 10, 12, 14.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 10.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 7, 9, 11, 13, 15.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 11.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mean of the data: 8, 10, 12, 14, 16.",1,Arrange the data when finding median; use sum/number for mean.,Mean = 12.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mode of the data: 9, 10, 10, 12, 14, 14, 14.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 14.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mode of the data: 10, 11, 11, 13, 15, 15, 15.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 15.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mode of the data: 11, 12, 12, 14, 16, 16, 16.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 16.,"statistics,mean,median,mode",Practice,Easy,,
Mathematics Part I,6,"Find the mode of the data: 12, 13, 13, 15, 17, 17, 17.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 17.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the mode of the data: 13, 14, 14, 16, 18, 18, 18.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 18.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the mode of the data: 14, 15, 15, 17, 19, 19, 19.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 19.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the mode of the data: 15, 16, 16, 18, 20, 20, 20.",1,Arrange the data when finding median; use sum/number for mean.,Mode = 20.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the median of: 16, 18, 20, 22, 24.",1,Arrange the data when finding median; use sum/number for mean.,Median = 20.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the median of: 17, 19, 21, 23, 25.",1,Arrange the data when finding median; use sum/number for mean.,Median = 21.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the median of: 18, 20, 22, 24, 26.",1,Arrange the data when finding median; use sum/number for mean.,Median = 22.,"statistics,mean,median,mode",Practice,Medium,,
Mathematics Part I,6,"Find the median of: 19, 21, 23, 25, 27.",1,Arrange the data when finding median; use sum/number for mean.,Median = 23.,"statistics,mean,median,mode",Practice,Hard,,
Mathematics Part I,6,"Find the median of: 20, 22, 24, 26, 28.",1,Arrange the data when finding median; use sum/number for mean.,Median = 24.,"statistics,mean,median,mode",Practice,Hard,,
Mathematics Part I,6,"Find the median of: 21, 23, 25, 27, 29.",1,Arrange the data when finding median; use sum/number for mean.,Median = 25.,"statistics,mean,median,mode",Practice,Hard,,
