subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,1,What is the SI unit of gravitational constant G?,1,Remember the SI unit of G.,G has SI unit N m²/kg².,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,State Newton’s universal law of gravitation.,1,Recall F = Gm₁m₂/r².,F = Gm₁m₂/r².,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,Write the formula for gravitational force between two masses.,1,Use Newton’s law.,F = Gm₁m₂/r².,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,What is acceleration due to gravity near Earth’s surface?,1,Use standard value g.,g ≈ 9.8 m/s².,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,Does the value of g change with height above Earth?,1,Greater distance from Earth’s centre means weaker gravity.,g decreases with height.,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,Define free fall.,1,Ignore air resistance.,Free fall is motion under gravity alone.,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,What is weight of an object?,1,Use W = mg.,Weight W = mg.,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,Why is mass constant while weight can change?,1,Compare mass and W=mg.,"Weight changes with g, mass does not.",SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,What is escape velocity?,1,Think of leaving Earth permanently.,It is the minimum speed needed to escape gravity.,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,What happens to weight of an object on the Moon compared with Earth?,1,Moon’s g is about 1/6 of Earth’s.,Moon weight ≈ one-sixth of Earth weight.,SSC Science;Gravitation,Practice,Easy,,
Science & Technology Part I,1,Why do astronauts appear weightless in an orbiting spacecraft?,1,It is apparent weightlessness.,They are in free fall together.,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,State the relation between g and G for a spherical Earth.,1,M is Earth’s mass and R its radius.,g = GM/R².,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,"If distance between two masses is doubled, what happens to gravitational force?",1,Force varies as 1/r².,F becomes F/4.,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,"If one mass is doubled while distance remains same, what happens to force?",1,Force is directly proportional to each mass.,F becomes 2F.,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,What is thrust?,1,It is a force.,Thrust is force acting perpendicular to a surface.,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,Define pressure.,1,P = F/A.,Pressure = F/A.,SSC Science;Gravitation,Practice,Medium,,
Science & Technology Part I,1,What is the SI unit of pressure?,1,One pascal is one newton per square metre.,SI unit is pascal.,SSC Science;Gravitation,Practice,Hard,,
Science & Technology Part I,1,Why does a sharp nail enter wood easily?,1,Use P = F/A.,Small area gives high pressure.,SSC Science;Gravitation,Practice,Hard,,
Science & Technology Part I,1,State Archimedes’ principle.,1,Think of displaced water.,Upthrust equals weight of displaced fluid.,SSC Science;Gravitation,Practice,Hard,,
Science & Technology Part I,1,Why does an iron ship float?,1,Floating depends on average density and buoyancy.,The ship floats when buoyant force balances its weight.,SSC Science;Gravitation,Practice,Hard,,
Science & Technology Part I,2,State the modern periodic law.,1,Atomic number is the key.,Properties repeat periodically with atomic number.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,How many periods are there in the modern periodic table?,1,Count horizontal rows.,There are 7 periods.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,How many groups are there in the modern periodic table?,1,Count vertical columns.,There are 18 groups.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is a group in the periodic table?,1,Vertical = group.,A group is a vertical column.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is a period?,1,Horizontal = period.,A period is a horizontal row.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What are valence electrons?,1,They take part in bonding.,Outer-shell electrons are valence electrons.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,Why do elements of the same group show similar chemical properties?,1,Focus on outer shell.,Similar valence electrons give similar properties.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is periodicity?,1,Properties repeat.,Periodic repetition of properties is periodicity.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,Where are metals generally found in the periodic table?,1,Non-metals are mainly on the right.,Metals occupy left and centre regions.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
