subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Sanskrit,3,“सूक्तिसुधा।” या धड्याचा मुख्य विषय एका वाक्यात लिहा.,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” धड्यातून मिळणारा एक नैतिक संदेश लिहा.,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” शी संबंधित एक महत्त्वाचा संस्कृत शब्द लिहा.,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तिः हा महत्त्वाचा शब्द आहे.,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,विद्यार्थ्याने “सूक्तिसुधा।” मधील विचार आचरणात कसा आणावा?,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Practice,Easy,,
Sanskrit,3,“सूक्तिसुधा।” चा समाजजीवनाशी संबंध कसा आहे?,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” मधील विचारांचे आजच्या काळातील महत्त्व काय?,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” मध्ये कोणता सद्गुण अधोरेखित होतो?,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” चा अभ्यास करताना कोणता प्रश्न स्वतःला विचारावा?,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Practice,Easy,,
Sanskrit,3,“सूक्तिसुधा।” मधील मुख्य संकल्पना स्पष्ट करा.,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” चा एक सकारात्मक परिणाम लिहा.,1,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Easy,,
Sanskrit,3,“सूक्तिसुधा।” चा संक्षिप्त सारांश लिहा.,2,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Medium,,
Sanskrit,3,“सूक्तिसुधा।” मधून मिळणारी जीवनकौशल्याची शिकवण काय?,2,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Practice,Medium,,
Sanskrit,3,“सूक्तिसुधा।” मधील विचार आणि जबाबदारी यांचा संबंध लिहा.,2,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Medium,,
Sanskrit,3,“सूक्तिसुधा।” चा विद्यार्थ्याच्या व्यक्तिमत्त्वावर कसा परिणाम होऊ शकतो?,2,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.",सूक्तीभिः सदाचारस्य विवेकस्य च प्रेरणा लभ्यते।,"सूक्तिः, नीतिः, विवेकः",Important,Medium,,
Sanskrit,3,“सूक्तिसुधा।” संदर्भातील एक महत्त्वाचा शब्दसमूह लिहा.,2,"मुख्य आशय, शब्द आणि संदेश लक्षात ठेवा.","सूक्तिः, नीतिः, विवेकः हे उपयोगी शब्द आहेत.","सूक्तिः, नीतिः, विवेकः",Important,Medium,,
