subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
English,4.6,What is the central idea of 'The Gift of the Magi'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The central idea is the main message or thought developed through the chapter, explained with reference to its key events, ideas or images.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Write a short summary of 'The Gift of the Magi'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",A good summary briefly presents the main events or ideas in logical order without unnecessary details.,"the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,What important value can a student learn from 'The Gift of the Magi'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The lesson can be connected with values such as courage, honesty, perseverance, compassion, wisdom or responsible action, depending on the chapter.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Explain the title 'The Gift of the Magi'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The title is meaningful because it points to the main subject, incident, character, image or message of the chapter.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Give two important themes in 'The Gift of the Magi'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State two major ideas developed in the chapter and support each with a relevant reference from the text.,"the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,Describe one important character or personality presented in 'The Gift of the Magi'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Describe the person's qualities, actions and decisions, and explain how these contribute to the chapter.","the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,What turning point is important in 'The Gift of the Magi'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",Identify the event or realization that changes the direction of the narrative or the understanding of the subject.,"the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,How does 'The Gift of the Magi' inspire the reader?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It inspires the reader through an idea, experience or example that encourages positive thinking, courage, learning or self-improvement.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Write one lesson from 'The Gift of the Magi' that can be applied in daily life.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the lesson clearly and link it to a practical action or attitude in everyday life.,"the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,What is the writer's main purpose in 'The Gift of the Magi'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The writer's purpose is to communicate the chapter's central idea and make the reader think, feel or learn through the chosen form and examples.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Find and explain one important contrast in 'The Gift of the Magi'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention two contrasting ideas, situations or attitudes and explain how the contrast strengthens the chapter's message.","the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,How does the setting or situation support 'The Gift of the Magi'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",The setting or situation creates the conditions in which the main events or ideas become meaningful.,"the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Write a 4-sentence appreciation of 'The Gift of the Magi'.,4,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention the subject, important idea, notable feature and the reason the chapter is meaningful to readers.","the gift of the magi,main idea,exam practice",Important,Hard,,
English,4.6,What makes 'The Gift of the Magi' memorable?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Its memorable quality comes from its important subject, strong message, characters, incidents, images or emotional effect.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,How can the main message of 'The Gift of the Magi' help a weak student?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It can encourage steady effort, learning from mistakes and practical improvement instead of giving up.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Write three keywords related to 'The Gift of the Magi'.,1,"Read the chapter carefully and identify its main idea, key events, characters or message.","Choose three keywords directly connected with the chapter's subject, ideas, characters or events.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Write a short answer on the most important idea in 'The Gift of the Magi'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the idea in one or two clear sentences and support it with one relevant reference.,"the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Why should students study 'The Gift of the Magi' carefully for examination?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Careful study helps students understand the main idea, important details, vocabulary and likely question patterns.","the gift of the magi,main idea,exam practice",Important,Easy,,
English,4.6,Frame one exam question based on 'The Gift of the Magi' and answer it.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","The question should test an important idea from the chapter, and the answer should be concise, relevant and text-based.","the gift of the magi,main idea,exam practice",Important,Medium,,
English,4.6,What is your personal response to 'The Gift of the Magi'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State your opinion clearly and support it with one reason or reference from the chapter.,"the gift of the magi,main idea,exam practice",Important,Hard,,
