subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,23.1,“सुंदर” शब्द किस शब्द-भेद का उदाहरण है?।,1,विशेषता बताने वाला शब्द पहचानिए।,विशेषण।,"विशेषण,शब्द-भेद",Important,Easy,,
Hindi,23.1,“वह” शब्द किस शब्द-भेद का उदाहरण है?।,1,संज्ञा के स्थान पर आए शब्द को पहचानिए।,सर्वनाम।,"सर्वनाम,शब्द-भेद",Important,Easy,,
Hindi,23.1,“राम विद्यालय जाता है” वाक्य में “विद्यालय” क्या है?।,1,किसी स्थान के नाम को पहचानिए।,संज्ञा।,"संज्ञा,शब्द-भेद",Important,Easy,,
Hindi,23.1,“धीरे-धीरे” शब्द किस प्रकार का है?।,1,क्रिया की रीति बताने वाले शब्द को पहचानिए।,क्रियाविशेषण।,"क्रियाविशेषण,शब्द-भेद",Important,Easy,,
Hindi,23.1,“और” शब्द का शब्द-भेद बताइए।,1,दो शब्दों या वाक्यांशों को जोड़ने वाला शब्द पहचानिए।,समुच्चयबोधक।,समुच्चयबोधक,Important,Easy,,
Hindi,23.1,“सुंदर” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 6.,1,विशेषता बताने वाला शब्द पहचानिए।,विशेषण।,"विशेषण,शब्द-भेद",Important,Easy,,
Hindi,23.1,“वह” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 7.,1,संज्ञा के स्थान पर आए शब्द को पहचानिए।,सर्वनाम।,"सर्वनाम,शब्द-भेद",Important,Easy,,
Hindi,23.1,“राम विद्यालय जाता है” वाक्य में “विद्यालय” क्या है? — अभ्यास प्रश्न 8.,1,किसी स्थान के नाम को पहचानिए।,संज्ञा।,"संज्ञा,शब्द-भेद",Important,Easy,,
Hindi,23.1,“धीरे-धीरे” शब्द किस प्रकार का है? — अभ्यास प्रश्न 9.,1,क्रिया की रीति बताने वाले शब्द को पहचानिए।,क्रियाविशेषण।,"क्रियाविशेषण,शब्द-भेद",Important,Easy,,
Hindi,23.1,“और” शब्द का शब्द-भेद बताइए — अभ्यास प्रश्न 10.,1,दो शब्दों या वाक्यांशों को जोड़ने वाला शब्द पहचानिए।,समुच्चयबोधक।,समुच्चयबोधक,Important,Easy,,
Hindi,23.1,“सुंदर” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 11.,2,विशेषता बताने वाला शब्द पहचानिए।,विशेषण।,"विशेषण,शब्द-भेद",Important,Medium,,
Hindi,23.1,“वह” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 12.,2,संज्ञा के स्थान पर आए शब्द को पहचानिए।,सर्वनाम।,"सर्वनाम,शब्द-भेद",Important,Medium,,
Hindi,23.1,“राम विद्यालय जाता है” वाक्य में “विद्यालय” क्या है? — अभ्यास प्रश्न 13.,2,किसी स्थान के नाम को पहचानिए।,संज्ञा।,"संज्ञा,शब्द-भेद",Important,Medium,,
Hindi,23.1,“धीरे-धीरे” शब्द किस प्रकार का है? — अभ्यास प्रश्न 14.,2,क्रिया की रीति बताने वाले शब्द को पहचानिए।,क्रियाविशेषण।,"क्रियाविशेषण,शब्द-भेद",Important,Medium,,
Hindi,23.1,“और” शब्द का शब्द-भेद बताइए — अभ्यास प्रश्न 15.,2,दो शब्दों या वाक्यांशों को जोड़ने वाला शब्द पहचानिए।,समुच्चयबोधक।,समुच्चयबोधक,Important,Medium,,
Hindi,23.1,“सुंदर” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 16.,2,विशेषता बताने वाला शब्द पहचानिए।,विशेषण।,"विशेषण,शब्द-भेद",Important,Medium,,
Hindi,23.1,“वह” शब्द किस शब्द-भेद का उदाहरण है? — अभ्यास प्रश्न 17.,4,संज्ञा के स्थान पर आए शब्द को पहचानिए।,सर्वनाम।,"सर्वनाम,शब्द-भेद",Important,Hard,,
Hindi,23.1,“राम विद्यालय जाता है” वाक्य में “विद्यालय” क्या है? — अभ्यास प्रश्न 18.,4,किसी स्थान के नाम को पहचानिए।,संज्ञा।,"संज्ञा,शब्द-भेद",Important,Hard,,
Hindi,23.1,“धीरे-धीरे” शब्द किस प्रकार का है? — अभ्यास प्रश्न 19.,4,क्रिया की रीति बताने वाले शब्द को पहचानिए।,क्रियाविशेषण।,"क्रियाविशेषण,शब्द-भेद",Important,Hard,,
Hindi,23.1,“और” शब्द का शब्द-भेद बताइए — अभ्यास प्रश्न 20.,4,दो शब्दों या वाक्यांशों को जोड़ने वाला शब्द पहचानिए।,समुच्चयबोधक।,समुच्चयबोधक,Important,Hard,,
Hindi,23.10,संवाद लेखन में भाषा कैसी होनी चाहिए?।,1,बोलचाल और पात्रानुसार भाषा पर ध्यान दें।,"स्वाभाविक, स्पष्ट और पात्रानुकूल भाषा होनी चाहिए।",संवादलेखन,Important,Easy,,
Hindi,23.10,विज्ञापन का मुख्य उद्देश्य क्या है?।,1,वस्तु या सेवा की ओर ध्यान आकर्षित करने पर विचार करें।,"किसी वस्तु, सेवा या विचार की ओर लोगों का ध्यान आकर्षित करना।",विज्ञापन,Important,Easy,,
Hindi,23.10,विज्ञापन में आकर्षक शीर्षक क्यों दिया जाता है?।,1,पहली नजर में ध्यान खींचने का उद्देश्य देखें।,पाठक का ध्यान तुरंत आकर्षित करने के लिए।,विज्ञापन,Important,Easy,,
Hindi,23.10,“जल बचाओ” विषय पर विज्ञापन बनाते समय कौन-सा संदेश प्रभावी रहेगा?।,1,पानी के संरक्षण की अपील करें।,"“जल है तो कल है—पानी बचाएँ, भविष्य बचाएँ।”","विज्ञापन,जलसंवर्धन",Important,Easy,,
Hindi,23.10,संवाद में प्रश्नोत्तर शैली का क्या लाभ है?।,1,बातचीत को जीवंत बनाने पर ध्यान दें।,"संवाद अधिक स्वाभाविक, रोचक और स्पष्ट बनता है।",संवादलेखन,Important,Easy,,
Hindi,23.10,संवाद लेखन में भाषा कैसी होनी चाहिए? — अभ्यास प्रश्न 6.,1,बोलचाल और पात्रानुसार भाषा पर ध्यान दें।,"स्वाभाविक, स्पष्ट और पात्रानुकूल भाषा होनी चाहिए।",संवादलेखन,Important,Easy,,
Hindi,23.10,विज्ञापन का मुख्य उद्देश्य क्या है? — अभ्यास प्रश्न 7.,1,वस्तु या सेवा की ओर ध्यान आकर्षित करने पर विचार करें।,"किसी वस्तु, सेवा या विचार की ओर लोगों का ध्यान आकर्षित करना।",विज्ञापन,Important,Easy,,
Hindi,23.10,विज्ञापन में आकर्षक शीर्षक क्यों दिया जाता है? — अभ्यास प्रश्न 8.,1,पहली नजर में ध्यान खींचने का उद्देश्य देखें।,पाठक का ध्यान तुरंत आकर्षित करने के लिए।,विज्ञापन,Important,Easy,,
Hindi,23.10,“जल बचाओ” विषय पर विज्ञापन बनाते समय कौन-सा संदेश प्रभावी रहेगा? — अभ्यास प्रश्न 9.,1,पानी के संरक्षण की अपील करें।,"“जल है तो कल है—पानी बचाएँ, भविष्य बचाएँ।”","विज्ञापन,जलसंवर्धन",Important,Easy,,
