subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
English,4.1,What is the central idea of 'A Thing of Beauty is a Joy For Ever'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The central idea is the main message or thought developed through the chapter, explained with reference to its key events, ideas or images.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Write a short summary of 'A Thing of Beauty is a Joy For Ever'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",A good summary briefly presents the main events or ideas in logical order without unnecessary details.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,What important value can a student learn from 'A Thing of Beauty is a Joy For Ever'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The lesson can be connected with values such as courage, honesty, perseverance, compassion, wisdom or responsible action, depending on the chapter.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Explain the title 'A Thing of Beauty is a Joy For Ever'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The title is meaningful because it points to the main subject, incident, character, image or message of the chapter.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Give two important themes in 'A Thing of Beauty is a Joy For Ever'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State two major ideas developed in the chapter and support each with a relevant reference from the text.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,Describe one important character or personality presented in 'A Thing of Beauty is a Joy For Ever'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Describe the person's qualities, actions and decisions, and explain how these contribute to the chapter.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,What turning point is important in 'A Thing of Beauty is a Joy For Ever'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",Identify the event or realization that changes the direction of the narrative or the understanding of the subject.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,How does 'A Thing of Beauty is a Joy For Ever' inspire the reader?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It inspires the reader through an idea, experience or example that encourages positive thinking, courage, learning or self-improvement.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Write one lesson from 'A Thing of Beauty is a Joy For Ever' that can be applied in daily life.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the lesson clearly and link it to a practical action or attitude in everyday life.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,What is the writer's main purpose in 'A Thing of Beauty is a Joy For Ever'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The writer's purpose is to communicate the chapter's central idea and make the reader think, feel or learn through the chosen form and examples.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Find and explain one important contrast in 'A Thing of Beauty is a Joy For Ever'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention two contrasting ideas, situations or attitudes and explain how the contrast strengthens the chapter's message.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,How does the setting or situation support 'A Thing of Beauty is a Joy For Ever'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",The setting or situation creates the conditions in which the main events or ideas become meaningful.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Write a 4-sentence appreciation of 'A Thing of Beauty is a Joy For Ever'.,4,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention the subject, important idea, notable feature and the reason the chapter is meaningful to readers.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Hard,,
English,4.1,What makes 'A Thing of Beauty is a Joy For Ever' memorable?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Its memorable quality comes from its important subject, strong message, characters, incidents, images or emotional effect.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,How can the main message of 'A Thing of Beauty is a Joy For Ever' help a weak student?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It can encourage steady effort, learning from mistakes and practical improvement instead of giving up.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Write three keywords related to 'A Thing of Beauty is a Joy For Ever'.,1,"Read the chapter carefully and identify its main idea, key events, characters or message.","Choose three keywords directly connected with the chapter's subject, ideas, characters or events.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Write a short answer on the most important idea in 'A Thing of Beauty is a Joy For Ever'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the idea in one or two clear sentences and support it with one relevant reference.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Why should students study 'A Thing of Beauty is a Joy For Ever' carefully for examination?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Careful study helps students understand the main idea, important details, vocabulary and likely question patterns.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Easy,,
English,4.1,Frame one exam question based on 'A Thing of Beauty is a Joy For Ever' and answer it.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","The question should test an important idea from the chapter, and the answer should be concise, relevant and text-based.","a thing of beauty is a joy for ever,main idea,exam practice",Important,Medium,,
English,4.1,What is your personal response to 'A Thing of Beauty is a Joy For Ever'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State your opinion clearly and support it with one reason or reference from the chapter.,"a thing of beauty is a joy for ever,main idea,exam practice",Important,Hard,,
