subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,23.3,“राजपुत्र” में कौन-सा समास है?।,1,राजा का पुत्र—संबंध पहचानिए।,तत्पुरुष समास।,"समास,तत्पुरुष",Important,Easy,,
Hindi,23.3,“नीलकमल” में कौन-सा समास है?।,1,नीला है जो कमल—विशेषण संबंध देखें।,कर्मधारय समास।,"समास,कर्मधारय",Important,Easy,,
Hindi,23.3,“माता-पिता” में कौन-सा समास है?।,1,दो समान पदों के मेल को पहचानिए।,द्वंद्व समास।,"समास,द्वंद्व",Important,Easy,,
Hindi,23.3,“यथाशक्ति” का विग्रह कीजिए।,1,शक्ति के अनुसार अर्थ देखिए।,शक्ति के अनुसार।,"समास,विग्रह",Important,Easy,,
Hindi,23.3,समास का मुख्य लाभ क्या है?।,1,भाषा को संक्षिप्त बनाने का उद्देश्य सोचिए।,अनेक शब्दों के स्थान पर संक्षिप्त रूप में अर्थ व्यक्त करना।,"समास,परिभाषा",Important,Easy,,
Hindi,23.3,“राजपुत्र” में कौन-सा समास है? — अभ्यास प्रश्न 6.,1,राजा का पुत्र—संबंध पहचानिए।,तत्पुरुष समास।,"समास,तत्पुरुष",Important,Easy,,
Hindi,23.3,“नीलकमल” में कौन-सा समास है? — अभ्यास प्रश्न 7.,1,नीला है जो कमल—विशेषण संबंध देखें।,कर्मधारय समास।,"समास,कर्मधारय",Important,Easy,,
Hindi,23.3,“माता-पिता” में कौन-सा समास है? — अभ्यास प्रश्न 8.,1,दो समान पदों के मेल को पहचानिए।,द्वंद्व समास।,"समास,द्वंद्व",Important,Easy,,
Hindi,23.3,“यथाशक्ति” का विग्रह कीजिए — अभ्यास प्रश्न 9.,1,शक्ति के अनुसार अर्थ देखिए।,शक्ति के अनुसार।,"समास,विग्रह",Important,Easy,,
Hindi,23.3,समास का मुख्य लाभ क्या है? — अभ्यास प्रश्न 10.,1,भाषा को संक्षिप्त बनाने का उद्देश्य सोचिए।,अनेक शब्दों के स्थान पर संक्षिप्त रूप में अर्थ व्यक्त करना।,"समास,परिभाषा",Important,Easy,,
Hindi,23.3,“राजपुत्र” में कौन-सा समास है? — अभ्यास प्रश्न 11.,2,राजा का पुत्र—संबंध पहचानिए।,तत्पुरुष समास।,"समास,तत्पुरुष",Important,Medium,,
Hindi,23.3,“नीलकमल” में कौन-सा समास है? — अभ्यास प्रश्न 12.,2,नीला है जो कमल—विशेषण संबंध देखें।,कर्मधारय समास।,"समास,कर्मधारय",Important,Medium,,
Hindi,23.3,“माता-पिता” में कौन-सा समास है? — अभ्यास प्रश्न 13.,2,दो समान पदों के मेल को पहचानिए।,द्वंद्व समास।,"समास,द्वंद्व",Important,Medium,,
Hindi,23.3,“यथाशक्ति” का विग्रह कीजिए — अभ्यास प्रश्न 14.,2,शक्ति के अनुसार अर्थ देखिए।,शक्ति के अनुसार।,"समास,विग्रह",Important,Medium,,
Hindi,23.3,समास का मुख्य लाभ क्या है? — अभ्यास प्रश्न 15.,2,भाषा को संक्षिप्त बनाने का उद्देश्य सोचिए।,अनेक शब्दों के स्थान पर संक्षिप्त रूप में अर्थ व्यक्त करना।,"समास,परिभाषा",Important,Medium,,
Hindi,23.3,“राजपुत्र” में कौन-सा समास है? — अभ्यास प्रश्न 16.,2,राजा का पुत्र—संबंध पहचानिए।,तत्पुरुष समास।,"समास,तत्पुरुष",Important,Medium,,
Hindi,23.3,“नीलकमल” में कौन-सा समास है? — अभ्यास प्रश्न 17.,4,नीला है जो कमल—विशेषण संबंध देखें।,कर्मधारय समास।,"समास,कर्मधारय",Important,Hard,,
Hindi,23.3,“माता-पिता” में कौन-सा समास है? — अभ्यास प्रश्न 18.,4,दो समान पदों के मेल को पहचानिए।,द्वंद्व समास।,"समास,द्वंद्व",Important,Hard,,
Hindi,23.3,“यथाशक्ति” का विग्रह कीजिए — अभ्यास प्रश्न 19.,4,शक्ति के अनुसार अर्थ देखिए।,शक्ति के अनुसार।,"समास,विग्रह",Important,Hard,,
Hindi,23.3,समास का मुख्य लाभ क्या है? — अभ्यास प्रश्न 20.,4,भाषा को संक्षिप्त बनाने का उद्देश्य सोचिए।,अनेक शब्दों के स्थान पर संक्षिप्त रूप में अर्थ व्यक्त करना।,"समास,परिभाषा",Important,Hard,,
