subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,2.2,“दो लघुकथाएँ (पूरक पठन)” पाठ का मुख्य विषय क्या है?,1,पाठाचा मुख्य विषय लक्षात ठेवा: छोटी घटनाओं से जीवन-मूल्य और मानवीय व्यवहार सामने लाना.,या पाठाचा मुख्य विषय छोटी घटनाओं से जीवन-मूल्य और मानवीय व्यवहार सामने लाना आहे.,"लघुकथा,जीवन-मूल्य",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” पाठ से मिलने वाला प्रमुख संदेश क्या है?,1,पाठातील मूल्य किंवा संदेश आठवा: जीवन-मूल्य.,पाठाचा प्रमुख संदेश जीवन-मूल्य या मूल्याला महत्त्व देणे हा आहे.,"लघुकथा,जीवन-मूल्य,संदेश",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” की रचना-विधा क्या है?,1,रचना के साहित्यिक प्रकार पर ध्यान दें.,“दो लघुकथाएँ (पूरक पठन)” की रचना-विधा लघुकथा है.,"लघुकथा,लघुकथा",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” के रचनाकार कौन हैं?,1,पाठ के लेखक/कवि का नाम याद करें.,“दो लघुकथाएँ (पूरक पठन)” के रचनाकार नरेंद्रकौर छाबड़ा हैं.,"लघुकथा,नरेंद्रकौर छाबड़ा",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” में किस मानवीय मूल्य पर विशेष जोर मिलता है?,1,पाठ का मूल्य-आधारित संदेश सोचें.,इस पाठ में जीवन-मूल्य के मानवीय मूल्य पर विशेष जोर मिलता है.,"लघुकथा,जीवन-मूल्य,मानवीय मूल्य",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” का शीर्षक पाठ के आशय से कैसे जुड़ता है?,2,शीर्षक और मुख्य विचार का संबंध बताइए.,शीर्षक लघुकथा के माध्यम से पाठ के मुख्य आशय की ओर संकेत करता है और संक्षिप्त कथानक में प्रभावी संदेश देना को स्पष्ट करता है.,"लघुकथा,शीर्षक,आशय",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” से विद्यार्थियों को क्या सीख मिलती है?,2,व्यावहारिक जीवन से जोड़कर उत्तर दें.,विद्यार्थियों को जीवन-मूल्य अपनाने और संक्षिप्त कथानक में प्रभावी संदेश देना को जीवन में उतारने की सीख मिलती है.,"लघुकथा,शिक्षा,जीवन-मूल्य",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” में लेखक/कवि ने किस दृष्टिकोण को सामने रखा है?,2,लेखक की मूल दृष्टि पहचानें.,रचनाकार ने छोटी घटनाओं से जीवन-मूल्य और मानवीय व्यवहार सामने लाना को केंद्र में रखकर संवेदनशील और विचारपूर्ण दृष्टिकोण प्रस्तुत किया है.,"लघुकथा,दृष्टिकोण",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” का संबंध आज के जीवन से कैसे जोड़ा जा सकता है?,2,आजच्या समाजातील उदाहरणाचा विचार करा.,आज के जीवन में भी जीवन-मूल्य आवश्यक है; इसलिए पाठ का संदेश व्यवहार में उपयोगी है.,"लघुकथा,वर्तमान जीवन,संदेश",Important,Easy,,
Hindi Lokbharati,2.2,“दो लघुकथाएँ (पूरक पठन)” के आधार पर एक वाक्य में पाठ का सार लिखिए।,2,मुख्य विचार को एक वाक्य में समेटें.,यह रचना छोटी घटनाओं से जीवन-मूल्य और मानवीय व्यवहार सामने लाना के माध्यम से संक्षिप्त कथानक में प्रभावी संदेश देना का प्रभावी संदेश देती है.,"लघुकथा,सारांश",Important,Easy,,
