subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Geography,8,What is an occupation?,1,Recall the key definition or point.,An activity through which people earn their livelihood.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,What is a primary occupation?,1,Recall the key definition or point.,"An occupation involving direct use of natural resources, such as farming.","Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,Give one example of a secondary occupation.,1,Recall the key definition or point.,Manufacturing.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,What is a tertiary occupation?,1,Recall the key definition or point.,"A service activity such as transport, banking or trade.","Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,What is agriculture?,1,Recall the key definition or point.,The cultivation of crops and rearing of animals.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,Name one major food crop of India.,1,Recall the key definition or point.,Rice.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,Why are industries located near raw materials?,1,Recall the key definition or point.,To reduce transport cost and ensure easy supply of inputs.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,What is a market?,1,Recall the key definition or point.,A place or system where goods and services are bought and sold.,"Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,How does transport support economic activity?,1,Recall the key definition or point.,"It moves raw materials, people and finished goods.","Geography,Class 10,Chapter 8",Practice,Easy,,
Geography,8,Why do occupations vary from region to region?,1,Recall the key definition or point.,"They depend on resources, climate, skills, infrastructure and market conditions.","Geography,Class 10,Chapter 8",Practice,Easy,,
