subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,1.1,“भारत महिमा” पाठ का मुख्य विषय क्या है?,1,"पाठाचा मुख्य विषय लक्षात ठेवा: भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना.","या पाठाचा मुख्य विषय भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना आहे.","भारत,राष्ट्रीय गौरव",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” पाठ से मिलने वाला प्रमुख संदेश क्या है?,1,पाठातील मूल्य किंवा संदेश आठवा: राष्ट्रीय गौरव.,पाठाचा प्रमुख संदेश राष्ट्रीय गौरव या मूल्याला महत्त्व देणे हा आहे.,"भारत,राष्ट्रीय गौरव,संदेश",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” की रचना-विधा क्या है?,1,रचना के साहित्यिक प्रकार पर ध्यान दें.,“भारत महिमा” की रचना-विधा कविता है.,"भारत,कविता",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” के रचनाकार कौन हैं?,1,पाठ के लेखक/कवि का नाम याद करें.,“भारत महिमा” के रचनाकार जयशंकर प्रसाद हैं.,"भारत,जयशंकर प्रसाद",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” में किस मानवीय मूल्य पर विशेष जोर मिलता है?,1,पाठ का मूल्य-आधारित संदेश सोचें.,इस पाठ में राष्ट्रीय गौरव के मानवीय मूल्य पर विशेष जोर मिलता है.,"भारत,राष्ट्रीय गौरव,मानवीय मूल्य",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” का शीर्षक पाठ के आशय से कैसे जुड़ता है?,2,शीर्षक और मुख्य विचार का संबंध बताइए.,शीर्षक भारत के माध्यम से पाठ के मुख्य आशय की ओर संकेत करता है और भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना को स्पष्ट करता है.,"भारत,शीर्षक,आशय",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” से विद्यार्थियों को क्या सीख मिलती है?,2,व्यावहारिक जीवन से जोड़कर उत्तर दें.,विद्यार्थियों को राष्ट्रीय गौरव अपनाने और भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना को जीवन में उतारने की सीख मिलती है.,"भारत,शिक्षा,राष्ट्रीय गौरव",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” में लेखक/कवि ने किस दृष्टिकोण को सामने रखा है?,2,लेखक की मूल दृष्टि पहचानें.,"रचनाकार ने भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना को केंद्र में रखकर संवेदनशील और विचारपूर्ण दृष्टिकोण प्रस्तुत किया है.","भारत,दृष्टिकोण",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” का संबंध आज के जीवन से कैसे जोड़ा जा सकता है?,2,आजच्या समाजातील उदाहरणाचा विचार करा.,आज के जीवन में भी राष्ट्रीय गौरव आवश्यक है; इसलिए पाठ का संदेश व्यवहार में उपयोगी है.,"भारत,वर्तमान जीवन,संदेश",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” के आधार पर एक वाक्य में पाठ का सार लिखिए।,2,मुख्य विचार को एक वाक्य में समेटें.,"यह रचना भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना के माध्यम से भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना का प्रभावी संदेश देती है.","भारत,सारांश",Important,Easy,,
Hindi Lokbharati,1.1,“भारत महिमा” में राष्ट्रीय गौरव का महत्व अपने शब्दों में स्पष्ट कीजिए।,2,मूल्य और पाठ का संबंध बताइए.,राष्ट्रीय गौरव से व्यक्ति का दृष्टिकोण मजबूत होता है और पाठ में यही मूल्य भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना के रूप में सामने आता है.,"भारत,राष्ट्रीय गौरव,स्पष्टीकरण",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” के प्रमुख विचार को दो बिंदुओं में लिखिए।,2,मुख्य आशय के दो छोटे मुद्दे लिखें.,"१) भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना २) भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना","भारत,मुख्य विचार",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” के आधार पर रचनाकार का उद्देश्य स्पष्ट कीजिए।,3,"रचना क्यों लिखी गई होगी, यह सोचें.","रचनाकार का उद्देश्य भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना को प्रभावी ढंग से सामने लाना और पाठक को राष्ट्रीय गौरव के प्रति जागरूक करना है.","भारत,उद्देश्य,राष्ट्रीय गौरव",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” में व्यक्त विचारों की वर्तमान समाज में उपयोगिता स्पष्ट कीजिए।,3,पाठ का संदेश आजच्या परिस्थितीशी जोडा.,आज भी राष्ट्रीय गौरव की आवश्यकता है; इसलिए भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना से जुड़ा संदेश सामाजिक और व्यक्तिगत जीवन में उपयोगी है.,"भारत,वर्तमान समाज,उपयोगिता",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” के आशय को समझाने के लिए उपयुक्त उदाहरण दीजिए।,3,पाठ के संदेश से मिलता-जुलता जीवन-उदाहरण सोचें.,उदाहरण के रूप में ऐसा प्रसंग लिया जा सकता है जिसमें व्यक्ति राष्ट्रीय गौरव को अपनाकर भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना को व्यवहार में सिद्ध करता है.,"भारत,उदाहरण,राष्ट्रीय गौरव",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” की भाषा/शैली की एक विशेषता लिखकर उसका प्रभाव बताइए।,3,रचना-विधा के अनुसार शैली का विचार करें.,"रचना की कविता शैली विषय को सहज और प्रभावी बनाती है तथा भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना को पाठक तक स्पष्ट रूप से पहुँचाती है.","भारत,भाषा,शैली",Important,Medium,,
Hindi Lokbharati,1.1,“भारत महिमा” का चिकित्सक/शिक्षक/विद्यार्थी/समाजसेवकाच्या दृष्टिकोनातून संदेश स्पष्ट कीजिए।,4,भूमिका बदलूनही मुख्य मूल्य कायम ठेवा.,कोणत्याही सामाजिक भूमिकेतून पाहिले तरी राष्ट्रीय गौरव महत्त्वाचे आहे; रचना भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावनाद्वारे जबाबदार आणि संवेदनशील वर्तनाची प्रेरणा देते.,"भारत,दृष्टिकोन,राष्ट्रीय गौरव",Important,Hard,,
Hindi Lokbharati,1.1,“भारत महिमा” के मुख्य विचार और उसके सामाजिक प्रभाव में संबंध स्पष्ट कीजिए।,4,मुख्य विचार → व्यक्ति → समाज असा संबंध मांडावा.,"रचनेतील भारतीय संस्कृति, ज्ञान, प्रकृति और विश्वकल्याण की गौरवपूर्ण भावना व्यक्तीच्या विचारांना दिशा देते; राष्ट्रीय गौरव वाढल्यास सामाजिक वर्तन अधिक संवेदनशील होते आणि भारत की महान सांस्कृतिक परंपरा और विश्व को ज्ञान देने की भावना साध्य होण्यास मदत होते.","भारत,सामाजिक प्रभाव",Important,Hard,,
