subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
English,2.5,What is the central idea of 'Let's March'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The central idea is the main message or thought developed through the chapter, explained with reference to its key events, ideas or images.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Write a short summary of 'Let's March'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",A good summary briefly presents the main events or ideas in logical order without unnecessary details.,"let's march,main idea,exam practice",Important,Medium,,
English,2.5,What important value can a student learn from 'Let's March'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The lesson can be connected with values such as courage, honesty, perseverance, compassion, wisdom or responsible action, depending on the chapter.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Explain the title 'Let's March'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The title is meaningful because it points to the main subject, incident, character, image or message of the chapter.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Give two important themes in 'Let's March'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State two major ideas developed in the chapter and support each with a relevant reference from the text.,"let's march,main idea,exam practice",Important,Medium,,
English,2.5,Describe one important character or personality presented in 'Let's March'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Describe the person's qualities, actions and decisions, and explain how these contribute to the chapter.","let's march,main idea,exam practice",Important,Medium,,
English,2.5,What turning point is important in 'Let's March'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",Identify the event or realization that changes the direction of the narrative or the understanding of the subject.,"let's march,main idea,exam practice",Important,Medium,,
English,2.5,How does 'Let's March' inspire the reader?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It inspires the reader through an idea, experience or example that encourages positive thinking, courage, learning or self-improvement.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Write one lesson from 'Let's March' that can be applied in daily life.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the lesson clearly and link it to a practical action or attitude in everyday life.,"let's march,main idea,exam practice",Important,Easy,,
English,2.5,What is the writer's main purpose in 'Let's March'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","The writer's purpose is to communicate the chapter's central idea and make the reader think, feel or learn through the chosen form and examples.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Find and explain one important contrast in 'Let's March'.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention two contrasting ideas, situations or attitudes and explain how the contrast strengthens the chapter's message.","let's march,main idea,exam practice",Important,Medium,,
English,2.5,How does the setting or situation support 'Let's March'?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",The setting or situation creates the conditions in which the main events or ideas become meaningful.,"let's march,main idea,exam practice",Important,Easy,,
English,2.5,Write a 4-sentence appreciation of 'Let's March'.,4,"Read the chapter carefully and identify its main idea, key events, characters or message.","Mention the subject, important idea, notable feature and the reason the chapter is meaningful to readers.","let's march,main idea,exam practice",Important,Hard,,
English,2.5,What makes 'Let's March' memorable?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Its memorable quality comes from its important subject, strong message, characters, incidents, images or emotional effect.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,How can the main message of 'Let's March' help a weak student?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","It can encourage steady effort, learning from mistakes and practical improvement instead of giving up.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Write three keywords related to 'Let's March'.,1,"Read the chapter carefully and identify its main idea, key events, characters or message.","Choose three keywords directly connected with the chapter's subject, ideas, characters or events.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Write a short answer on the most important idea in 'Let's March'.,2,"Read the chapter carefully and identify its main idea, key events, characters or message.",State the idea in one or two clear sentences and support it with one relevant reference.,"let's march,main idea,exam practice",Important,Easy,,
English,2.5,Why should students study 'Let's March' carefully for examination?,2,"Read the chapter carefully and identify its main idea, key events, characters or message.","Careful study helps students understand the main idea, important details, vocabulary and likely question patterns.","let's march,main idea,exam practice",Important,Easy,,
English,2.5,Frame one exam question based on 'Let's March' and answer it.,3,"Read the chapter carefully and identify its main idea, key events, characters or message.","The question should test an important idea from the chapter, and the answer should be concise, relevant and text-based.","let's march,main idea,exam practice",Important,Medium,,
English,2.5,What is your personal response to 'Let's March'?,3,"Read the chapter carefully and identify its main idea, key events, characters or message.",State your opinion clearly and support it with one reason or reference from the chapter.,"let's march,main idea,exam practice",Important,Hard,,
