subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Marathi Kumarbharati,9,“आश्वासक चित्र” या पाठाचा मुख्य आशय काय आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","आश्वासक चित्रातील आशा, सकारात्मकता, भविष्यदृष्टी आणि प्रेरणा हा या पाठाचा केंद्रस्थानी असलेला आशय आहे.","आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,"आश्वासक चित्रातील आशा, सकारात्मकता, भविष्यदृष्टी आणि प्रेरणा यातील कोणता मुद्दा सर्वाधिक महत्त्वाचा आहे?",1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","या पाठातून आश्वासक चित्रातील आशा, सकारात्मकता, भविष्यदृष्टी आणि प्रेरणा यांचे महत्त्व स्पष्ट होते.","आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,“आश्वासक चित्र” मधील प्रमुख मूल्य कोणते आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","यातून प्रयत्न, संवेदनशीलता आणि सकारात्मक मूल्यांची जाणीव होते.","आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,पाठातील व्यक्ती/विचार विद्यार्थ्यांसाठी प्रेरणादायी कसा ठरतो?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",पात्र/विचार अडचणींवर मात करून मूल्याधिष्ठित कृतीची प्रेरणा देतो.,"आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,या पाठातून मानवी नात्यांविषयी काय शिकायला मिळते?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","आपुलकी, समजूतदारपणा आणि जबाबदारी यांचे महत्त्व जाणवते.","आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,लेखक/कवीने आश्वासक या केंद्रविषयाकडे कोणत्या दृष्टीने पाहिले आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",लेखक/कवीने संवेदनशील आणि जीवनाशी जोडलेली दृष्टी स्वीकारली आहे.,"आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,या पाठातील संघर्ष किंवा आव्हान कोणते आहे आणि त्यावर कशी मात केली जाते?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","आव्हानांना धैर्य, सातत्य आणि विचारपूर्वक कृतीने सामोरे जाण्याचा संदेश मिळतो.","आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,पाठातील एखाद्या महत्त्वाच्या प्रसंगातून कोणता बोध मिळतो?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",त्या प्रसंगातून प्रतिकूल परिस्थितीतही योग्य मूल्ये टिकवण्याचा बोध मिळतो.,"आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,“आश्वासक चित्र” या शीर्षकाची समर्पकता स्पष्ट करा.,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",शीर्षक पाठातील मुख्य विचार किंवा केंद्रस्थानी असलेल्या अनुभवाशी थेट संबंधित आहे.,"आश्वासक_चित्र,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,9,पाठातील आशावादी विचार स्पष्ट करा.,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",अडचणी असूनही आशावादी राहून प्रयत्न करण्याची प्रेरणा मिळते.,"आश्वासक_चित्र,SSC,Revision",Important,Easy,,
